,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
621,Wych Kaosayananda,Sandrine Holt,Action Crime Sci-Fi Thriller,Talisa Soto,Ballistic: Ecks vs. Sever,Gregg Henry,Wych Kaosayananda Sandrine Holt Talisa Soto Action Crime Sci-Fi Thriller Gregg Henry
622,Mikael Salomon,Minnie Driver,Action Crime Drama Thriller,Morgan Freeman,Hard Rain,Randy Quaid,Mikael Salomon Minnie Driver Morgan Freeman Action Crime Drama Thriller Randy Quaid
623,Bobby Farrelly,Brandy Norwood,Action Adventure Animation Comedy Crime Family Fantasy,Ron Howard,Osmosis Jones,David Hyde Pierce,Bobby Farrelly Brandy Norwood Ron Howard Action Adventure Animation Comedy Crime Family Fantasy David Hyde Pierce
624,Will Finn,Oliver Platt,Adventure Animation Family Fantasy Musical,Lea Michele,Legends of Oz: Dorothy's Return,Jim Belushi,Will Finn Oliver Platt Lea Michele Adventure Animation Family Fantasy Musical Jim Belushi
625,Michael Mann,Archie Kao,Action Crime Drama Mystery Thriller,Chris Hemsworth,Blackhat,Brandon Molale,Michael Mann Archie Kao Chris Hemsworth Action Crime Drama Mystery Thriller Brandon Molale
626,Kerry Conran,Laurence Olivier,Action Adventure Mystery Sci-Fi Thriller,Angelina Jolie Pitt,Sky Captain and the World of Tomorrow,Bai Ling,Kerry Conran Laurence Olivier Angelina Jolie Pitt Action Adventure Mystery Sci-Fi Thriller Bai Ling
627,Michael Caton-Jones,Indira Varma,Crime Mystery Thriller,Charlotte Rampling,Basic Instinct 2,Neil Maskell,Michael Caton-Jones Indira Varma Charlotte Rampling Crime Mystery Thriller Neil Maskell
628,Mikael Håfström,50 Cent,Action Crime Mystery Sci-Fi Thriller,Sylvester Stallone,Escape Plan,Matt Gerald,Mikael Håfström 50 Cent Sylvester Stallone Action Crime Mystery Sci-Fi Thriller Matt Gerald
629,Renny Harlin,Luke Newberry,Action Adventure Fantasy,Roxanne McKee,The Legend of Hercules,Gaia Weiss,Renny Harlin Luke Newberry Roxanne McKee Action Adventure Fantasy Gaia Weiss
630,Phil Alden Robinson,Bruce McGill,Action Drama Thriller,Morgan Freeman,The Sum of All Fears,Philip Baker Hall,Phil Alden Robinson Bruce McGill Morgan Freeman Action Drama Thriller Philip Baker Hall
631,David Slade,Kristen Stewart,Adventure Drama Fantasy Romance,Robert Pattinson,The Twilight Saga: Eclipse,Anna Kendrick,David Slade Kristen Stewart Robert Pattinson Adventure Drama Fantasy Romance Anna Kendrick
632,Frank Oz,Marlon Brando,Crime Drama Thriller,Robert De Niro,The Score,Gary Farmer,Frank Oz Marlon Brando Robert De Niro Crime Drama Thriller Gary Farmer
633,Pierre Coffin,Miranda Cosgrove,Animation Comedy Family,Steve Carell,Despicable Me,Jack McBrayer,Pierre Coffin Miranda Cosgrove Steve Carell Animation Comedy Family Jack McBrayer
634,Joseph Ruben,Robert Blake,Action Comedy Crime Drama Thriller,Vincent Pastore,Money Train,Aida Turturro,Joseph Ruben Robert Blake Vincent Pastore Action Comedy Crime Drama Thriller Aida Turturro
635,Seth MacFarlane,Morgan Freeman,Comedy,Liam Neeson,Ted 2,Seth MacFarlane,Seth MacFarlane Morgan Freeman Liam Neeson Comedy Seth MacFarlane
636,Alejandro Amenábar,Ashraf Barhom,Adventure Drama History Romance,Max Minghella,Agora,Rupert Evans,Alejandro Amenábar Ashraf Barhom Max Minghella Adventure Drama History Romance Rupert Evans
637,Kinka Usher,Wes Studi,Action Comedy Fantasy Sci-Fi,Janeane Garofalo,Mystery Men,Eddie Izzard,Kinka Usher Wes Studi Janeane Garofalo Action Comedy Fantasy Sci-Fi Eddie Izzard
638,Bobby Farrelly,Larry Joe Campbell,Comedy Romance,Jenna Fischer,Hall Pass,Stephen Merchant,Bobby Farrelly Larry Joe Campbell Jenna Fischer Comedy Romance Stephen Merchant
639,Michael Mann,Rip Torn,Biography Drama Thriller,Al Pacino,The Insider,Debi Mazar,Michael Mann Rip Torn Al Pacino Biography Drama Thriller Debi Mazar
640,Craig Gillespie,Abraham Benrubi,Action Drama History Thriller,Michael Raymond-James,The Finest Hours,Graham McTavish,Craig Gillespie Abraham Benrubi Michael Raymond-James Action Drama History Thriller Graham McTavish
641,Ridley Scott,Simon McBurney,Action Drama Thriller,Leonardo DiCaprio,Body of Lies,Michael Gaston,Ridley Scott Simon McBurney Leonardo DiCaprio Action Drama Thriller Michael Gaston
642,Jay Roach,Stephanie Szostak,Comedy,Steve Carell,Dinner for Schmucks,Bruce Greenwood,Jay Roach Stephanie Szostak Steve Carell Comedy Bruce Greenwood
643,Timur Bekmambetov,Dominic Cooper,Action Fantasy Horror,Rufus Sewell,Abraham Lincoln: Vampire Hunter,Benjamin Walker,Timur Bekmambetov Dominic Cooper Rufus Sewell Action Fantasy Horror Benjamin Walker
644,Jon Amiel,Kevin McNally,Action Crime Romance Thriller,Will Patton,Entrapment,Maury Chaykin,Jon Amiel Kevin McNally Will Patton Action Crime Romance Thriller Maury Chaykin
646,Rob Bowman,Mitch Pileggi,Drama Mystery Sci-Fi Thriller,Martin Landau,The X Files,Jeffrey DeMunn,Rob Bowman Mitch Pileggi Martin Landau Drama Mystery Sci-Fi Thriller Jeffrey DeMunn
647,Doug Lefler,Nonso Anozie,Action Adventure Fantasy War,Colin Firth,The Last Legion,Owen Teale,Doug Lefler Nonso Anozie Colin Firth Action Adventure Fantasy War Owen Teale
648,Steven Spielberg,Vin Diesel,Action Drama War,Tom Hanks,Saving Private Ryan,Matt Damon,Steven Spielberg Vin Diesel Tom Hanks Action Drama War Matt Damon
649,Scott Waugh,Dominic Cooper,Action Crime Drama Thriller,Rami Malek,Need for Speed,Ramon Rodriguez,Scott Waugh Dominic Cooper Rami Malek Action Crime Drama Thriller Ramon Rodriguez
650,Nancy Meyers,Lisa Edelstein,Comedy Fantasy Romance,Judy Greer,What Women Want,Loretta Devine,Nancy Meyers Lisa Edelstein Judy Greer Comedy Fantasy Romance Loretta Devine
651,Chris Wedge,Stephen Root,Adventure Animation Comedy Family,Goran Visnjic,Ice Age,Denis Leary,Chris Wedge Stephen Root Goran Visnjic Adventure Animation Comedy Family Denis Leary
652,Lawrence Kasdan,Michael O'Neill,Drama Horror Sci-Fi Thriller,Morgan Freeman,Dreamcatcher,Reece Thompson,Lawrence Kasdan Michael O'Neill Morgan Freeman Drama Horror Sci-Fi Thriller Reece Thompson
653,Steven Spielberg,Hal Holbrook,Biography Drama History War,Joseph Gordon-Levitt,Lincoln,Bruce McGill,Steven Spielberg Hal Holbrook Joseph Gordon-Levitt Biography Drama History War Bruce McGill
654,Lana Wachowski,Marcus Chong,Action Sci-Fi,Keanu Reeves,The Matrix,Gloria Foster,Lana Wachowski Marcus Chong Keanu Reeves Action Sci-Fi Gloria Foster
655,Ron Howard,Miko Hughes,Adventure Drama History,Tom Hanks,Apollo 13,Kathleen Quinlan,Ron Howard Miko Hughes Tom Hanks Adventure Drama History Kathleen Quinlan
656,Paul Verhoeven,Rachel Ticotin,Action Sci-Fi,Ronny Cox,Total Recall,Marshall Bell,Paul Verhoeven Rachel Ticotin Ronny Cox Action Sci-Fi Marshall Bell
657,Michael Lembeck,Aisha Tyler,Comedy Family Fantasy,Judge Reinhold,The Santa Clause 2,Eric Lloyd,Michael Lembeck Aisha Tyler Judge Reinhold Comedy Family Fantasy Eric Lloyd
658,Tom Hooper,Eddie Redmayne,Drama Musical Romance,Hugh Jackman,Les Misérables,Anne Hathaway,Tom Hooper Eddie Redmayne Hugh Jackman Drama Musical Romance Anne Hathaway
659,Nora Ephron,Jean Stapleton,Comedy Drama Romance,Tom Hanks,You've Got Mail,Dave Chappelle,Nora Ephron Jean Stapleton Tom Hanks Comedy Drama Romance Dave Chappelle
660,Adam McKay,Adam Scott,Comedy,Will Ferrell,Step Brothers,Andrea Savage,Adam McKay Adam Scott Will Ferrell Comedy Andrea Savage
661,Martin Campbell,Tony Amendola,Action Adventure Comedy Romance Thriller Western,Anthony Hopkins,The Mask of Zorro,Stuart Wilson,Martin Campbell Tony Amendola Anthony Hopkins Action Adventure Comedy Romance Thriller Western Stuart Wilson
662,Todd Phillips,RZA,Comedy Drama,Robert Downey Jr.,Due Date,Matt Walsh,Todd Phillips RZA Robert Downey Jr. Comedy Drama Matt Walsh
663,Angelina Jolie Pitt,Jack O'Connell,Biography Drama Sport War,Finn Wittrock,Unbroken,Alex Russell,Angelina Jolie Pitt Jack O'Connell Finn Wittrock Biography Drama Sport War Alex Russell
664,Clint Eastwood,Courtney B. Vance,Action Adventure Thriller,Clint Eastwood,Space Cowboys,William Devane,Clint Eastwood Courtney B. Vance Clint Eastwood Action Adventure Thriller William Devane
665,Renny Harlin,Leon,Action Adventure Thriller,Sylvester Stallone,Cliffhanger,Janine Turner,Renny Harlin Leon Sylvester Stallone Action Adventure Thriller Janine Turner
666,John Woo,Samantha Mathis,Action Crime Thriller,Delroy Lindo,Broken Arrow,Bob Gunton,John Woo Samantha Mathis Delroy Lindo Action Crime Thriller Bob Gunton
667,Jon Turteltaub,Lily Tomlin,Comedy Family Fantasy,Bruce Willis,The Kid,Daniel von Bargen,Jon Turteltaub Lily Tomlin Bruce Willis Comedy Family Fantasy Daniel von Bargen
668,Oliver Stone,Jay Hernandez,Drama History Thriller,Nicolas Cage,World Trade Center,Armando Riesco,Oliver Stone Jay Hernandez Nicolas Cage Drama History Thriller Armando Riesco
669,Mike Newell,Kirsten Dunst,Drama,Julia Roberts,Mona Lisa Smile,Marian Seldes,Mike Newell Kirsten Dunst Julia Roberts Drama Marian Seldes
670,Larry Charles,Aasif Mandvi,Comedy Romance,Sayed Badreya,The Dictator,Horatio Sanz,Larry Charles Aasif Mandvi Sayed Badreya Comedy Romance Horatio Sanz
671,Stanley Kubrick,Vinessa Shaw,Drama Mystery Thriller,Tom Cruise,Eyes Wide Shut,Sydney Pollack,Stanley Kubrick Vinessa Shaw Tom Cruise Drama Mystery Thriller Sydney Pollack
672,Will Gluck,Dorian Missick,Comedy Drama Family Musical,Quvenzhané Wallis,Annie,David Zayas,Will Gluck Dorian Missick Quvenzhané Wallis Comedy Drama Family Musical David Zayas
673,Glenn Ficarra,Adrian Martinez,Comedy Crime Drama Romance,Will Smith,Focus,Gerald McRaney,Glenn Ficarra Adrian Martinez Will Smith Comedy Crime Drama Romance Gerald McRaney
674,McG,Abigail Spencer,Action Comedy Romance,Tom Hardy,This Means War,Warren Christie,McG Abigail Spencer Tom Hardy Action Comedy Romance Warren Christie
675,David S. Goyer,Natasha Lyonne,Action Adventure Fantasy Horror Sci-Fi Thriller,Ryan Reynolds,Blade: Trinity,John Michael Higgins,David S. Goyer Natasha Lyonne Ryan Reynolds Action Adventure Fantasy Horror Sci-Fi Thriller John Michael Higgins
676,John Milius,Jennifer Grey,Action Drama War,Lea Thompson,Red Dawn,William Smith,John Milius Jennifer Grey Lea Thompson Action Drama War William Smith
677,Mike Nichols,Adrian Lester,Comedy Drama,Maura Tierney,Primary Colors,Paul Guilfoyle,Mike Nichols Adrian Lester Maura Tierney Comedy Drama Paul Guilfoyle
678,Paul W.S. Anderson,Boris Kodjoe,Action Horror Sci-Fi Thriller,Milla Jovovich,Resident Evil: Retribution,Bingbing Li,Paul W.S. Anderson Boris Kodjoe Milla Jovovich Action Horror Sci-Fi Thriller Bingbing Li
679,Paul W.S. Anderson,Max Ryan,Action Sci-Fi Thriller,Jason Statham,Death Race,Joan Allen,Paul W.S. Anderson Max Ryan Jason Statham Action Sci-Fi Thriller Joan Allen
680,Renny Harlin,Craig Bierko,Action Crime Drama Mystery Thriller,Melina Kanakaredes,The Long Kiss Goodnight,Yvonne Zima,Renny Harlin Craig Bierko Melina Kanakaredes Action Crime Drama Mystery Thriller Yvonne Zima
681,Taylor Hackford,Alun Armstrong,Action Drama Thriller,Pamela Reed,Proof of Life,Michael Kitchen,Taylor Hackford Alun Armstrong Pamela Reed Action Drama Thriller Michael Kitchen
682,Jon Favreau,Josh Hutcherson,Action Adventure Comedy Family Fantasy Sci-Fi,Kristen Stewart,Zathura: A Space Adventure,Jonah Bobo,Jon Favreau Josh Hutcherson Kristen Stewart Action Adventure Comedy Family Fantasy Sci-Fi Jonah Bobo
683,David Fincher,Meat Loaf,Drama,Brad Pitt,Fight Club,Eugenie Bondurant,David Fincher Meat Loaf Brad Pitt Drama Eugenie Bondurant
684,McG,Kimberly Williams-Paisley,Drama Sport,Matthew McConaughey,We Are Marshall,Brian Geraghty,McG Kimberly Williams-Paisley Matthew McConaughey Drama Sport Brian Geraghty
686,Michael Lehmann,James Coburn,Action Adventure Comedy,Bruce Willis,Hudson Hawk,Richard E. Grant,Michael Lehmann James Coburn Bruce Willis Action Adventure Comedy Richard E. Grant
687,Nora Ephron,Michael Moore,Comedy Crime,Michael Rapaport,Lucky Numbers,Richard Schiff,Nora Ephron Michael Moore Michael Rapaport Comedy Crime Richard Schiff
688,Stuart Beattie,Kevin Grevioux,Action Fantasy Sci-Fi Thriller,Caitlin Stasey,"I, Frankenstein",Miranda Otto,Stuart Beattie Kevin Grevioux Caitlin Stasey Action Fantasy Sci-Fi Thriller Miranda Otto
689,Roman Polanski,Barney Clark,Crime Drama,Ian McNeice,Oliver Twist,Tony Noble,Roman Polanski Barney Clark Ian McNeice Crime Drama Tony Noble
690,Rob Bowman,Cary-Hiroyuki Tagawa,Action Crime Fantasy Thriller,Jennifer Garner,Elektra,Goran Visnjic,Rob Bowman Cary-Hiroyuki Tagawa Jennifer Garner Action Crime Fantasy Thriller Goran Visnjic
691,Frank Miller,Bruce Willis,Action Crime Thriller,Joseph Gordon-Levitt,Sin City: A Dame to Kill For,Eva Green,Frank Miller Bruce Willis Joseph Gordon-Levitt Action Crime Thriller Eva Green
692,Sydney Pollack,Kristin Scott Thomas,Drama Mystery Romance,Harrison Ford,Random Hearts,Bill Cobbs,Sydney Pollack Kristin Scott Thomas Harrison Ford Drama Mystery Romance Bill Cobbs
693,Baltasar Kormákur,Martin Henderson,Adventure Biography Drama History Sport Thriller,Michael Kelly,Everest,Tom Goodman-Hill,Baltasar Kormákur Martin Henderson Michael Kelly Adventure Biography Drama History Sport Thriller Tom Goodman-Hill
694,Tom Tykwer,David Calder,Crime Drama Fantasy,Michael Smiley,Perfume: The Story of a Murderer,Simon Chandler,Tom Tykwer David Calder Michael Smiley Crime Drama Fantasy Simon Chandler
695,Jay Roach,Josh Zuckerman,Action Comedy Crime,Verne Troyer,Austin Powers in Goldmember,Robert Wagner,Jay Roach Josh Zuckerman Verne Troyer Action Comedy Crime Robert Wagner
696,David Bowers,Charlize Theron,Action Animation Comedy Family Sci-Fi,Nicolas Cage,Astro Boy,Dee Bradley Baker,David Bowers Charlize Theron Nicolas Cage Action Animation Comedy Family Sci-Fi Dee Bradley Baker
697,Steven Spielberg,Ariana Richards,Adventure Sci-Fi Thriller,Wayne Knight,Jurassic Park,Bob Peck,Steven Spielberg Ariana Richards Wayne Knight Adventure Sci-Fi Thriller Bob Peck
698,Lawrence Kasdan,Catherine O'Hara,Adventure Biography Crime Drama Western,Dennis Quaid,Wyatt Earp,Isabella Rossellini,Lawrence Kasdan Catherine O'Hara Dennis Quaid Adventure Biography Crime Drama Western Isabella Rossellini
699,Phillip Noyce,Dean Jones,Action Crime Drama Thriller,Harrison Ford,Clear and Present Danger,Raymond Cruz,Phillip Noyce Dean Jones Harrison Ford Action Crime Drama Thriller Raymond Cruz
700,Daniel Lee,Peng Lin,Action Adventure Drama History,Si Won Choi,Dragon Blade,Sung-jun Yoo,Daniel Lee Peng Lin Si Won Choi Action Adventure Drama History Sung-jun Yoo
701,Keenen Ivory Wayans,Brittany Daniel,Comedy Crime,Chazz Palminteri,Littleman,John Witherspoon,Keenen Ivory Wayans Brittany Daniel Chazz Palminteri Comedy Crime John Witherspoon
702,Jonathan Mostow,Thomas Kretschmann,Action War,Matthew McConaughey,U-571,David Keith,Jonathan Mostow Thomas Kretschmann Matthew McConaughey Action War David Keith
703,Rob Reiner,Samantha Mathis,Comedy Drama Romance,Shawna Waldron,The American President,Wendie Malick,Rob Reiner Samantha Mathis Shawna Waldron Comedy Drama Romance Wendie Malick
704,Marco Schnabel,Romany Malco,Comedy Romance Sport,Justin Timberlake,The Love Guru,Verne Troyer,Marco Schnabel Romany Malco Justin Timberlake Comedy Romance Sport Verne Troyer
705,Demian Lichtenstein,Bokeem Woodbine,Action Comedy Crime Thriller,Jon Lovitz,3000 Miles to Graceland,Ice-T,Demian Lichtenstein Bokeem Woodbine Jon Lovitz Action Comedy Crime Thriller Ice-T
706,Quentin Tarantino,Jennifer Jason Leigh,Crime Drama Mystery Thriller Western,Craig Stark,The Hateful Eight,Zoë Bell,Quentin Tarantino Jennifer Jason Leigh Craig Stark Crime Drama Mystery Thriller Western Zoë Bell
707,Josh Gordon,Amy Poehler,Comedy Sport,Will Ferrell,Blades of Glory,Jon Heder,Josh Gordon Amy Poehler Will Ferrell Comedy Sport Jon Heder
708,Tim Hill,Elizabeth Perkins,Adventure Animation Comedy Family Fantasy,Gary Cole,Hop,Chelsea Handler,Tim Hill Elizabeth Perkins Gary Cole Adventure Animation Comedy Family Fantasy Chelsea Handler
709,Zack Snyder,Michael Fassbender,Action Drama Fantasy War,Gerard Butler,300,Vincent Regan,Zack Snyder Michael Fassbender Gerard Butler Action Drama Fantasy War Vincent Regan
710,Jay Roach,Blythe Danner,Comedy Romance,Robert De Niro,Meet the Fockers,Teri Polo,Jay Roach Blythe Danner Robert De Niro Comedy Romance Teri Polo
711,David Frankel,Kathleen Turner,Comedy Drama Family,Eric Dane,Marley & Me,Haley Bennett,David Frankel Kathleen Turner Eric Dane Comedy Drama Family Haley Bennett
712,Frank Darabont,Jeffrey DeMunn,Crime Drama Fantasy Mystery,Tom Hanks,The Green Mile,Michael Jeter,Frank Darabont Jeffrey DeMunn Tom Hanks Crime Drama Fantasy Mystery Michael Jeter
713,Walt Becker,Tichina Arnold,Action Adventure Comedy,Jill Hennessy,Wild Hogs,Drew Sidora,Walt Becker Tichina Arnold Jill Hennessy Action Adventure Comedy Drew Sidora
714,Mark Dindal,Fred Willard,Adventure Animation Comedy Family Sci-Fi,Catherine O'Hara,Chicken Little,Amy Sedaris,Mark Dindal Fred Willard Catherine O'Hara Adventure Animation Comedy Family Sci-Fi Amy Sedaris
715,David Fincher,Sela Ward,Crime Drama Mystery Thriller,Patrick Fugit,Gone Girl,Emily Ratajkowski,David Fincher Sela Ward Patrick Fugit Crime Drama Mystery Thriller Emily Ratajkowski
716,Doug Liman,Josh Hamilton,Action Mystery Thriller,Matt Damon,The Bourne Identity,Nicky Naudé,Doug Liman Josh Hamilton Matt Damon Action Mystery Thriller Nicky Naudé
717,Martin Campbell,Joe Don Baker,Action Adventure Thriller,Izabella Scorupco,GoldenEye,Tchéky Karyo,Martin Campbell Joe Don Baker Izabella Scorupco Action Adventure Thriller Tchéky Karyo
718,Simon West,Timothy Hutton,Drama Mystery Thriller,Daniel von Bargen,The General's Daughter,Clarence Williams III,Simon West Timothy Hutton Daniel von Bargen Drama Mystery Thriller Clarence Williams III
719,Peter Weir,Noah Emmerich,Comedy Drama Sci-Fi,Natascha McElhone,The Truman Show,Peter Krause,Peter Weir Noah Emmerich Natascha McElhone Comedy Drama Sci-Fi Peter Krause
720,Brenda Chapman,Aria Noelle Curzon,Adventure Animation Biography Drama Family Fantasy Musical,Martin Short,The Prince of Egypt,Eden Riegel,Brenda Chapman Aria Noelle Curzon Martin Short Adventure Animation Biography Drama Family Fantasy Musical Eden Riegel
721,Steve Carr,Lisa Edelstein,Comedy Family,Anjelica Huston,Daddy Day Care,Jeff Garlin,Steve Carr Lisa Edelstein Anjelica Huston Comedy Family Jeff Garlin
722,Baltasar Kormákur,Patrick Fischler,Action Comedy Crime Drama Thriller,Denzel Washington,2 Guns,Fred Ward,Baltasar Kormákur Patrick Fischler Denzel Washington Action Comedy Crime Drama Thriller Fred Ward
723,Lawrence Guterman,Elizabeth Perkins,Action Comedy Family Fantasy,Carol Ann Susi,Cats & Dogs,Miriam Margolyes,Lawrence Guterman Elizabeth Perkins Carol Ann Susi Action Comedy Family Fantasy Miriam Margolyes
724,F. Gary Gray,Charlize Theron,Action Crime Thriller,Jason Statham,The Italian Job,Jimmy Shubert,F. Gary Gray Charlize Theron Jason Statham Action Crime Thriller Jimmy Shubert
725,Marc Lawrence,Alicia Witt,Comedy Romance,Dorian Missick,Two Weeks Notice,Dana Ivey,Marc Lawrence Alicia Witt Dorian Missick Comedy Romance Dana Ivey
726,Eric Darnell,Woody Allen,Adventure Animation Comedy Family,Sylvester Stallone,Antz,Anne Bancroft,Eric Darnell Woody Allen Sylvester Stallone Adventure Animation Comedy Family Anne Bancroft
727,Peter Billingsley,Kristin Davis,Comedy,Jon Favreau,Couples Retreat,Tasha Smith,Peter Billingsley Kristin Davis Jon Favreau Comedy Tasha Smith
728,Tony Scott,Robert Duvall,Action Drama Sport,Tom Cruise,Days of Thunder,Randy Quaid,Tony Scott Robert Duvall Tom Cruise Action Drama Sport Randy Quaid
729,Adam Shankman,Tom Welling,Adventure Comedy Family,Taylor Lautner,Cheaper by the Dozen 2,Alyson Stoner,Adam Shankman Tom Welling Taylor Lautner Adventure Comedy Family Alyson Stoner
730,Wes Ball,Lili Taylor,Action Sci-Fi Thriller,Ki Hong Lee,The Scorch Trials,Rosa Salazar,Wes Ball Lili Taylor Ki Hong Lee Action Sci-Fi Thriller Rosa Salazar
731,Ryan Murphy,Julia Roberts,Drama Romance,James Franco,Eat Pray Love,Billy Crudup,Ryan Murphy Julia Roberts James Franco Drama Romance Billy Crudup
732,Brett Ratner,Don Cheadle,Comedy Drama Fantasy Romance,Nicolas Cage,The Family Man,Amber Valletta,Brett Ratner Don Cheadle Nicolas Cage Comedy Drama Fantasy Romance Amber Valletta
733,Robert Schwentke,Morgan Freeman,Action Comedy Crime Thriller,Bruce Willis,RED,Jaqueline Fleming,Robert Schwentke Morgan Freeman Bruce Willis Action Comedy Crime Thriller Jaqueline Fleming
734,Oliver Stone,Dennis Quaid,Drama Sport,Al Pacino,Any Given Sunday,LL Cool J,Oliver Stone Dennis Quaid Al Pacino Drama Sport LL Cool J
735,Robert Redford,Kristin Scott Thomas,Drama Romance Western,Scarlett Johansson,The Horse Whisperer,Jessalyn Gilsig,Robert Redford Kristin Scott Thomas Scarlett Johansson Drama Romance Western Jessalyn Gilsig
736,Michael Mann,Jada Pinkett Smith,Crime Drama Thriller,Tom Cruise,Collateral,Debi Mazar,Michael Mann Jada Pinkett Smith Tom Cruise Crime Drama Thriller Debi Mazar
737,Chuck Russell,Roger Rees,Action Adventure Fantasy Thriller,Dwayne Johnson,The Scorpion King,Bernard Hill,Chuck Russell Roger Rees Dwayne Johnson Action Adventure Fantasy Thriller Bernard Hill
738,Jay Russell,Jay Hernandez,Action Drama Thriller,Billy Burke,Ladder 49,Jacinda Barrett,Jay Russell Jay Hernandez Billy Burke Action Drama Thriller Jacinda Barrett
739,Christopher McQuarrie,Robert Duvall,Action Crime Mystery Thriller,Tom Cruise,Jack Reacher,David Oyelowo,Christopher McQuarrie Robert Duvall Tom Cruise Action Crime Mystery Thriller David Oyelowo
740,Renny Harlin,Michael Rapaport,Action Sci-Fi Thriller,LL Cool J,Deep Blue Sea,Saffron Burrows,Renny Harlin Michael Rapaport LL Cool J Action Sci-Fi Thriller Saffron Burrows
741,Kenny Ortega,Mekia Cox,Documentary Music,Misha Gabriel Hamilton,This Is It,Judith Hill,Kenny Ortega Mekia Cox Misha Gabriel Hamilton Documentary Music Judith Hill
742,Steven Soderbergh,Monique Gabriela Curnen,Drama Thriller,Matt Damon,Contagion,Griffin Kane,Steven Soderbergh Monique Gabriela Curnen Matt Damon Drama Thriller Griffin Kane
743,David McNally,Dyan Cannon,Action Adventure Comedy Crime,Estella Warren,Kangaroo Jack,Bill Hunter,David McNally Dyan Cannon Estella Warren Action Adventure Comedy Crime Bill Hunter
744,Henry Selick,Dawn French,Animation Family Fantasy,Jennifer Saunders,Coraline,John Hodgman,Henry Selick Dawn French Jennifer Saunders Animation Family Fantasy John Hodgman
745,M. Night Shyamalan,Alan Ruck,Sci-Fi Thriller,Zooey Deschanel,The Happening,Kristen Connolly,M. Night Shyamalan Alan Ruck Zooey Deschanel Sci-Fi Thriller Kristen Connolly
746,Tony Scott,Radha Mitchell,Action Crime Drama Thriller,Denzel Washington,Man on Fire,Giancarlo Giannini,Tony Scott Radha Mitchell Denzel Washington Action Crime Drama Thriller Giancarlo Giannini
747,Brian Robbins,Joel David Moore,Comedy Family Fantasy,Robert Downey Jr.,The Shaggy Dog,Kristin Davis,Brian Robbins Joel David Moore Robert Downey Jr. Comedy Family Fantasy Kristin Davis
748,Todd Phillips,Carmen Electra,Comedy Crime,Snoop Dogg,Starsky & Hutch,Fred Williamson,Todd Phillips Carmen Electra Snoop Dogg Comedy Crime Fred Williamson
749,Brian Levant,Harvey Korman,Comedy Family,Jim Belushi,Jingle All the Way,Jake Lloyd,Brian Levant Harvey Korman Jim Belushi Comedy Family Jake Lloyd
750,Guillermo del Toro,Rupert Evans,Action Fantasy Horror Sci-Fi,James Babson,Hellboy,Brian Steele,Guillermo del Toro Rupert Evans James Babson Action Fantasy Horror Sci-Fi Brian Steele
751,Steven Zaillian,Kathleen Quinlan,Drama,Robert Duvall,A Civil Action,Sydney Pollack,Steven Zaillian Kathleen Quinlan Robert Duvall Drama Sydney Pollack
752,Chris Butler,Kodi Smit-McPhee,Adventure Animation Comedy Family Fantasy,Anna Kendrick,ParaNorman,Elaine Stritch,Chris Butler Kodi Smit-McPhee Anna Kendrick Adventure Animation Comedy Family Fantasy Elaine Stritch
753,Michael Caton-Jones,Bruce Willis,Action Adventure Crime Thriller,J.K. Simmons,The Jackal,Sophie Okonedo,Michael Caton-Jones Bruce Willis J.K. Simmons Action Adventure Crime Thriller Sophie Okonedo
754,John Woo,Joe Morton,Action Mystery Sci-Fi Thriller,Ivana Milicevic,Paycheck,Callum Rennie,John Woo Joe Morton Ivana Milicevic Action Mystery Sci-Fi Thriller Callum Rennie
755,Jon Avnet,Stockard Channing,Drama Romance,Joe Mantegna,Up Close & Personal,Raymond Cruz,Jon Avnet Stockard Channing Joe Mantegna Drama Romance Raymond Cruz
756,Sam Fell,Matthew Broderick,Adventure Animation Comedy Family Fantasy,Emma Watson,The Tale of Despereaux,Frank Langella,Sam Fell Matthew Broderick Emma Watson Adventure Animation Comedy Family Fantasy Frank Langella
758,Kevin Donovan,Debi Mazar,Action Comedy Sci-Fi,Romany Malco,The Tuxedo,Ritchie Coster,Kevin Donovan Debi Mazar Romany Malco Action Comedy Sci-Fi Ritchie Coster
759,Geoff Murphy,Brenda Bakke,Action Thriller,Peter Greene,Under Siege 2: Dark Territory,Patrick Kilpatrick,Geoff Murphy Brenda Bakke Peter Greene Action Thriller Patrick Kilpatrick
760,Kenneth Branagh,Nonso Anozie,Action Drama Thriller,Colm Feore,Jack Ryan: Shadow Recruit,Gemma Chan,Kenneth Branagh Nonso Anozie Colm Feore Action Drama Thriller Gemma Chan
761,David O. Russell,Robert De Niro,Biography Comedy Drama,Jennifer Lawrence,Joy,Bradley Cooper,David O. Russell Robert De Niro Jennifer Lawrence Biography Comedy Drama Bradley Cooper
762,Babak Najafi,Radha Mitchell,Action Crime Drama Thriller,Gerard Butler,London Has Fallen,Julian Kostov,Babak Najafi Radha Mitchell Gerard Butler Action Crime Drama Thriller Julian Kostov
763,Jean-Pierre Jeunet,Michael Wincott,Action Horror Sci-Fi,Gary Dourdan,Alien: Resurrection,Raymond Cruz,Jean-Pierre Jeunet Michael Wincott Gary Dourdan Action Horror Sci-Fi Raymond Cruz
